Compound_ID,Name,Other_name(Kegg_name),Formula,Molecular Weight,RT [min],Kegg_ID,KEGG_pathway,HMDB_ID,Lipidmaps_ID,SuperClass(HMDB),Class(HMDB),SubClass(HMDB),CATEGORY(Lipidmaps),MAIN_CLASS(Lipidmaps),SUB_CLASS(Lipidmaps),m/z
Com_23172_pos,"3-(2-methylpropyl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione",--,C11 H18 N2 O2,232.1196,5.576,--,--,--,--,--,--,--,--,--,--,233.12688
Com_23213_pos,Enrofloxacin,--,C19 H22 F N3 O3,397.1205,5.235,--,--,HMDB0029861,--,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,--,--,--,398.12787
Com_23235_pos,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-(propan-2-yloxy)oxane-3,4,5-triol",--,C9 H18 O6,244.09346,6.822,--,--,--,--,--,--,--,--,--,--,245.10074
Com_23303_pos,Linolelaidic Acid (C18:2N6T),--,C18 H32 O2,280.24141,10.003,--,--,--,--,--,--,--,--,--,--,303.2305
Com_23314_pos,"N4-(4-chloro-2,5-dimethoxyphenyl)morpholine-4-carbothioamide",--,C13 H17 Cl N2 O3 S,354.01228,7.194,--,--,--,--,--,--,--,--,--,--,355.01947
Com_23398_pos,16¦Á-Hydroxydehydroepiandrosterone,"16alpha-Hydroxydehydroepiandrosterone; 5-Androstene-3beta,16alpha-diol-17-one",C19 H28 O3,321.23091,6.045,C05139,--,--,--,--,--,--,--,--,--,322.23819
Com_23569_pos,Phenylethanolamine,Phenylethanolamine; 2-Amino-1-phenylethanol,C8 H11 N O,137.08482,5.392,C02735,--,HMDB0062626,--,Organic nitrogen compounds,Organonitrogen compounds,Amines,--,--,--,138.09218
Com_23604_pos,RLK,--,C18 H37 N7 O4,397.27319,5.904,--,--,--,--,--,--,--,--,--,--,398.28073
Com_23769_pos,UMP,UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid,C9 H13 N2 O9 P,324.03607,1.937,C00105,map00240  Pyrimidine metabolism;map01100  Metabolic pathways,HMDB0000288,--,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,--,--,--,325.04419
Com_23861_pos,"8-(2,3-dihydroxy-3-methylbutyl)-7-methoxy-2H-chromen-2-one",--,C15 H18 O5,294.08846,3.683,--,--,--,--,--,--,--,--,--,--,295.0957
Com_23961_pos,2-piperidinobenzoic acid,--,C12 H15 N O2,205.11099,5.52,--,--,--,--,--,--,--,--,--,--,206.11827
Com_23978_pos,Maltopentaose,--,C30 H52 O26,850.25922,4.415,--,--,HMDB0012254,--,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,--,--,--,851.26672
Com_23997_pos,"4,6,8-trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-2-benzopyran-1-one",--,C11 H12 O6,262.0489,5.426,--,--,--,--,--,--,--,--,--,--,245.04564
Com_24291_pos,1-[3-(4-chlorophenoxy)propyl]-2-methyl-4-nitro-1H-imidazole,--,C13 H14 Cl N3 O3,295.07325,5.754,--,--,--,--,--,--,--,--,--,--,296.08051
Com_24355_pos,"N,5-diphenyl-1,3,4-oxadiazole-2-carboxamide",--,C15 H11 N3 O2,287.06313,3.777,--,--,--,--,--,--,--,--,--,--,288.0704
Com_24573_pos,"3-(3,4,5-trimethoxyphenyl)propanoic acid",--,C12 H16 O5,262.08238,5.742,--,--,HMDB0030254,--,Phenylpropanoids and polyketides,Phenylpropanoic acids,,--,--,--,263.08951
Com_24586_pos,"All-Trans-13,14-Dihydroretinol",--,C20 H32 O,288.24499,7.063,--,--,HMDB0011618,LMPR01090047,Lipids and lipid-like molecules,Prenol lipids,Retinoids,Prenol Lipids [PR],Isoprenoids [PR01],Retinoids [PR0109],289.25281
Com_24615_pos,Trenbolone acetate,--,C20 H24 O3,312.17125,5.858,--,--,--,--,--,--,--,--,--,--,313.17783
Com_24655_pos,Troxerutin,--,C33 H42 O19,780.18293,11.058,--,--,HMDB0006083,--,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,--,--,--,781.19012
Com_24712_pos,2-(cyclopropylcarbonyl)-3-(4-fluoroanilino)acrylonitrile,--,C13 H11 F N2 O,268.04074,5.681,--,--,--,--,--,--,--,--,--,--,269.04788
Com_24734_pos,6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,--,C11 H16 O5,210.08907,6.879,--,--,--,--,--,--,--,--,--,--,211.09634
Com_24740_pos,LDGTS 18:1,--,C28 H53 N O6,499.38835,9.297,--,--,--,--,--,--,--,--,--,--,500.39563
Com_24825_pos,LDGTS 22:5,--,C32 H53 N O6,547.38901,5.712,--,--,--,--,--,--,--,--,--,--,548.39661
Com_24972_pos,QNK,--,C15 H28 N6 O6,388.20695,1.997,--,--,--,--,--,--,--,--,--,--,389.2142
Com_25302_pos,3-Phenylpropionitrile,--,C9 H9 N,149.08449,6.07,--,--,HMDB0034236,--,Benzenoids,Benzene and substituted derivatives,,--,--,--,150.09196
Com_25318_pos,2-Pyridylacetic acid,--,C7 H7 N O2,137.04835,5.363,--,--,HMDB0060722,--,Organoheterocyclic compounds,Pyridines and derivatives,,--,--,--,138.05569
Com_25407_pos,Melatonin,Melatonin; N-Acetyl-5-methoxytryptamine,C13 H16 N2 O2,232.12135,4.944,C01598,map00380  Tryptophan metabolism;map01100  Metabolic pathways,HMDB0001389,--,Organoheterocyclic compounds,Indoles and derivatives,Indoles,--,--,--,233.1288
Com_25749_pos,"3-(4-methoxyphenyl)-1-methyl-1H-1,2,4-triazol-5-ol",--,C10 H11 N3 O2,227.06233,4.986,--,--,--,--,--,--,--,--,--,--,228.06995
Com_25776_pos,N1-[6-hydroxy-2-(2-pyridyl)pyrimidin-4-yl]acetamide,--,C11 H10 N4 O2,230.07674,1.341,--,--,--,--,--,--,--,--,--,--,231.08388
Com_25796_pos,ANH,--,C13 H20 N6 O5,378.10356,1.072,--,--,--,--,--,--,--,--,--,--,379.11084
Com_25801_pos,WNK,--,C21 H30 N6 O5,892.44629,8.859,--,--,--,--,--,--,--,--,--,--,893.4541
Com_25863_pos,Leucine-enkephalin,--,C28 H37 N5 O7,555.2678,6.057,--,--,--,--,--,--,--,--,--,--,556.27576
Com_26044_pos,1-Palmitoyl-Sn-Glycero-3-Phosphocholine,--,C24 H50 N O7 P,495.33327,7.57,--,--,HMDB0010382,--,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,--,--,--,496.34055
Com_26104_pos,S-(5-Adenosy)-L-Homocysteine,--,C14 H20 N6 O5 S,384.12197,5.716,--,--,--,--,--,--,--,--,--,--,385.12924
Com_26294_pos,"1,7-bis(4-hydroxyphenyl)-5-methoxyheptan-3-one",--,C20 H24 O4,366.11986,5.772,--,--,HMDB0138162,--,Phenylpropanoids and polyketides,Diarylheptanoids,Linear diarylheptanoids,--,--,--,367.1272
Com_26340_pos,Cortisol,"Cortisol; Hydrocortisone; 11beta,17alpha,21-Trihydroxy-4-pregnene-3,20-dione; Kendall's compound F; Reichstein's substance M",C21 H30 O5,746.40262,6.888,C00735,map01100  Metabolic pathways,HMDB0000063,LMST02030001,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Sterols [ST],Steroids [ST02],"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",747.41052
Com_26378_pos,Pleuromutilin,Pleuromutilin; Pleuromulin,C22 H34 O5,395.26797,8.06,C09169,--,--,--,--,--,--,--,--,--,396.27505
Com_26427_pos,"(5S)-5-hydroxy-1,7-diphenylheptan-3-one",--,C19 H22 O2,264.15194,5.864,--,--,--,--,--,--,--,--,--,--,265.15909
Com_26461_pos,8-{[(3S)-3-(1H-Benzimidazol-2-yl)-1-pyrrolidinyl]sulfonyl}quinoline,--,C20 H18 N4 O2 S,378.1137,2.053,--,--,--,--,--,--,--,--,--,--,379.12137
Com_26565_pos,3-(tert-butyl)-1-methyl-N-(2-oxo-3-azepanyl)-1H-pyrazole-5-carboxamide,--,C15 H24 N4 O2,292.19019,4.725,--,--,--,--,--,--,--,--,--,--,293.19742
Com_26710_pos,6-methyl-4-(morpholinomethyl)-2H-chromen-2-one,--,C15 H17 N O3,259.12109,5.395,--,--,--,--,--,--,--,--,--,--,260.12875
Com_26997_pos,Lactitol,--,C12 H24 O11,344.13274,2.213,--,--,HMDB0040937,--,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,--,--,--,345.1395
Com_27119_pos,Deoxyadenosine,Deoxyadenosine; 2'-Deoxyadenosine,C10 H13 N5 O3,251.10257,4.813,C00559,map00230  Purine metabolism;map01100  Metabolic pathways,HMDB0000101,--,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,--,--,--,252.10985
Com_27236_pos,acetoacetate,Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid,C4 H6 O3,102.03196,4.892,C00164,"map00072  Synthesis and degradation of ketone bodies;map00280  Valine, leucine and isoleucine degradation;map00310  Lysine degradation;map00350  Tyrosine metabolism;map00640  Propanoate metabolism;map00650  Butanoate metabolism;map01100  Metabolic pathways",HMDB0000060,--,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,--,--,--,103.03915
Com_27290_pos,"(6E)-7-(2H-1,3-benzodioxol-5-yl)-1-(piperidin-1-yl)hept-6-en-1-one",--,C19 H25 N O3,315.17973,4.601,--,--,--,--,--,--,--,--,--,--,316.18698
Com_27327_pos,2-Naphthol,2-Naphthol; beta-Naphthol,C10 H8 O,144.05806,5.703,C11713,--,HMDB0012322,--,Benzenoids,Naphthalenes,Naphthols and derivatives,--,--,--,145.06534
Com_27339_pos,Neodiosmin,--,C28 H32 O15,630.16527,11.518,--,--,HMDB0039857,LMPK12110819,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Polyketides [PR],Flavonoids [PK12],Flavones and Flavonols [PK1211],631.17212
Com_27357_pos,"1-(2-chlorophenyl)-6,7-dimethoxy-1,4-dihydroisoquinolin-3(2H)-one",--,C17 H16 Cl N O3,317.08199,6.394,--,--,--,--,--,--,--,--,--,--,318.08926
Com_27402_pos,N1-(1H-indol-4-yl)cyclohexane-1-carboxamide,--,C15 H18 N2 O,264.12094,7.235,--,--,--,--,--,--,--,--,--,--,265.12827
Com_27448_pos,Maduramicin,--,C47 H80 O17,938.52471,7.727,--,--,HMDB0029453,--,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,--,--,--,939.53198
Com_27655_pos,dihydrotachysterol,Dihydrotachysterol,C28 H46 O,398.35577,11.231,C06957,--,HMDB0015203,--,Lipids and lipid-like molecules,Steroids and steroid derivatives,Vitamin D and derivatives,--,--,--,399.36334
Com_27692_pos,N-{2-[(2-furylmethyl)thio]ethyl}-2-[(3-methoxyphenyl)thio]acetamide,--,C16 H19 N O3 S2,337.07872,4.588,--,--,--,--,--,--,--,--,--,--,338.086
Com_27734_pos,5-Hydroxymethylcytidine,--,C10 H15 N3 O6,273.09571,1.832,--,--,--,--,--,--,--,--,--,--,274.10297
Com_27741_pos,3-(2-Naphthyl)-D-Alanine,--,C13 H13 N O2,215.09494,5.277,--,--,--,--,--,--,--,--,--,--,216.10202
Com_27894_pos,Andrographolide,Andrographolide,C20 H30 O5,328.22672,5.818,C20214,--,--,--,--,--,--,--,--,--,351.21594
Com_27990_pos,C-8 Ceramide-1-phosphate,--,C26 H52 N O6 P,505.36245,9.093,--,--,--,--,--,--,--,--,--,--,506.36954
Com_28032_pos,All trans-Retinal,--,C20 H28 O,284.2142,7.468,--,--,--,--,--,--,--,--,--,--,285.22119
Com_28055_pos,2-[3-(trifluoromethyl)-1H-pyrazol-1-yl]-4H-chromen-4-one,--,C13 H7 F3 N2 O2,280.04448,5.657,--,--,--,--,--,--,--,--,--,--,281.05176
Com_28070_pos,"N'-[6-(tert-butyl)thieno[3,2-d]pyrimidin-4-yl]-4-methylbenzohydrazide",--,C18 H20 N4 O S,362.11897,3.579,--,--,--,--,--,--,--,--,--,--,363.12625
Com_28173_pos,5-amino-2-(dimethylamino)benzoic acid,--,C9 H12 N2 O2,180.09012,4.628,--,--,--,--,--,--,--,--,--,--,181.0974
Com_28253_pos,Dl-Lanthionine,--,C6 H12 N2 O4 S,208.05216,5.581,--,--,--,--,--,--,--,--,--,--,209.05954
Com_28433_pos,Erucic acid,Erucic acid; (13Z)-Docosenoic acid; cis-13-Docosenoic acid,C22 H42 O2,338.31851,10.407,C08316,map01040  Biosynthesis of unsaturated fatty acids,HMDB0002068,--,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,--,--,--,339.32571
Com_28457_pos,FRH,--,C21 H30 N8 O4,1832.96735,9.432,--,--,--,--,--,--,--,--,--,--,917.48944
Com_28556_pos,Delta-Tridecalactone,--,C13 H24 O2,212.17772,7.309,--,--,--,--,--,--,--,--,--,--,213.18521
Com_28742_pos,"1,3,5-Trimethylpyrazole",--,C6 H10 N2,110.08477,4.568,--,--,--,--,--,--,--,--,--,--,111.09205
Com_28868_pos,2-Methylpentanedioic acid,--,C6 H10 O4,146.05817,6.389,--,--,HMDB0000422,--,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,--,--,--,147.06529
Com_28877_pos,N1-bicyclo[2.2.2]oct-2-ylbenzamide,--,C15 H19 N O,229.14682,7.273,--,--,--,--,--,--,--,--,--,--,230.15399
Com_28890_pos,N-(4-methoxyphenethyl)-N'-(2-methylphenyl)thiourea,--,C17 H20 N2 O S,300.13436,6.961,--,--,--,--,--,--,--,--,--,--,301.14163
Com_28893_pos,Choline bitartrate,--,C9 H19 N O7,253.11691,1.946,--,--,HMDB0000097,--,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,--,--,--,254.12428
Com_28953_pos,Tetrahydrocorticosterone,Tetrahydrocorticosterone,C21 H34 O4,722.4753,9.959,C05476,--,HMDB0000449,LMST02030100,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Sterols [ST],Steroids [ST02],"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",723.48248
Com_29000_pos,4-Hydroxy-3-methylbenzoic acid,--,C8 H8 O3,152.04769,5.317,--,--,HMDB0004815,--,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,--,--,--,153.05496
Com_29278_pos,Artemisinin,Qing Hau Sau; Artemisinin,C15 H22 O5,586.27684,6.312,C09538,--,--,--,--,--,--,--,--,--,587.28412
Com_29414_pos,N-[1-(4-methoxy-2-oxo-2H-pyran-6-yl)-2-methylbutyl]acetamide,--,C13 H19 N O4,253.13156,5.804,--,--,--,--,--,--,--,--,--,--,254.13892
Com_29522_pos,Taurocholic acid,Taurocholate; Taurocholic acid; Cholyltaurine,C26 H45 N O7 S,515.28942,6.007,C05122,map00430  Taurine and hypotaurine metabolism;map01100  Metabolic pathways,HMDB0000036,LMST05040001,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Sterols [ST],Steroid conjugates [ST05],Taurine conjugates [ST0504],516.29559
Com_29562_pos,Melanin,Melanin,C18 H10 N2 O4,318.06401,5.544,C05606,--,HMDB0004068,--,Benzenoids,Anthracenes,,--,--,--,319.07129
Com_29570_pos,GNK,--,C12 H23 N5 O5,598.31217,11.91,--,--,--,--,--,--,--,--,--,--,300.16336
Com_29584_pos,N-{2-[(4-chlorobenzyl)thio]phenyl}-N'-[3-(trifluoromethyl)phenyl]urea,--,C21 H16 Cl F3 N2 O S,474.01225,7.354,--,--,--,--,--,--,--,--,--,--,475.01953
Com_29603_pos,L-Asparagine,L-Asparagine; 2-Aminosuccinamic acid,C4 H8 N2 O3,132.05409,5.086,C00152,"map00250  Alanine, aspartate and glutamate metabolism;map00460  Cyanoamino acid metabolism;map00970  Aminoacyl-tRNA biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01230  Biosynthesis of amino acids",HMDB0000168,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,133.06137
Com_29747_pos,2-((Dimethylamino)methyl)phenol,--,C9 H13 N O,151.1003,5.096,--,--,--,--,--,--,--,--,--,--,152.10756
Com_29816_pos,6-[(4-methylphenyl)sulfonyl]-6-azabicyclo[3.2.1]octane,--,C14 H19 N O2 S,303.07442,5.505,--,--,--,--,--,--,--,--,--,--,304.08188
Com_29857_pos,Ureidoisobutyric Acid,--,C5 H10 N2 O3,146.06964,6.051,--,--,HMDB0002031,--,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas,--,--,--,147.07692
Com_29870_pos,N'1-(4-chlorobenzoyl)-2-aminobenzene-1-carbohydrazide,--,C14 H12 Cl N3 O2,289.06415,5.724,--,--,--,--,--,--,--,--,--,--,290.07147
Com_30130_pos,5-Aminoimidazole-4-carboxamide-1-beta-d-ribofuranosyl 5-monophosphate,--,C9 H15 N4 O8 P,338.06392,5.328,--,--,--,--,--,--,--,--,--,--,339.07141
Com_30305_pos,Diflorasone,--,C22 H28 F2 O5,410.19048,5.093,--,--,HMDB0014368,--,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,--,--,--,411.19775
Com_30376_pos,Thiamine,Thiamine; Thiamin; Vitamin B1; Aneurin; Antiberiberi factor,C12 H17 N4 O S,265.11202,5.518,C00378,map00730  Thiamine metabolism;map01100  Metabolic pathways;map02010  ABC transporters;map04122  Sulfur relay system,HMDB0000235,--,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,--,--,--,266.11929
Com_30428_pos,4-acetyl-4-(ethoxycarbonyl)heptanedioic acid,--,C12 H18 O7,256.09287,5.364,--,--,--,--,--,--,--,--,--,--,257.09998
Com_30448_pos,4-Hydroxybenzoic acid,4-Hydroxybenzoate; Hydroxybenzoic acid; 4-Hydroxybenzoic acid; Hydroxybenzenecarboxylic acid,C7 H6 O3,138.03198,5.801,C00156,map00130  Ubiquinone and other terpenoid-quinone biosynthesis;map00360  Phenylalanine metabolism;map00790  Folate biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites,HMDB0000500,--,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,--,--,--,139.0394
Com_30466_pos,Mupirocin,Mupirocin,C26 H44 O9,482.2871,7.404,C11758,--,HMDB0014554,--,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,--,--,--,483.29437
Com_30533_pos,2-Isobutyl-3-methoxypyrazine,--,C9 H14 N2 O,166.11107,6.114,--,--,HMDB0031860,--,Organoheterocyclic compounds,Diazines,Pyrazines,--,--,--,167.11835
Com_30550_pos,3-Indoleacetonitrile,3-Indoleacetonitrile; Indol-3-ylacetonitrile; Indole-3-acetonitrile; (Indol-3-yl)acetonitrile,C10 H8 N2,156.06923,5.186,C02938,map00380  Tryptophan metabolism,HMDB0006524,--,Organoheterocyclic compounds,Indoles and derivatives,Indoles,--,--,--,157.07639
Com_30613_pos,Cystamine,--,C4 H12 N2 S2,152.0448,1.167,--,--,--,--,--,--,--,--,--,--,153.05208
Com_30773_pos,"N2-(2,4-dimethylphenyl)-1,3-benzothiazol-2-amine",--,C15 H14 N2 S,232.10581,2.342,--,--,--,--,--,--,--,--,--,--,233.11314
Com_30850_pos,"2-hydroxy-3,6-diphenylcyclohexyl acetate",--,C20 H22 O3,332.14131,5.707,--,--,--,--,--,--,--,--,--,--,333.14859
Com_30886_pos,PC (16:1e/4:0),--,C28 H56 N O7 P,549.38179,10.314,--,--,--,--,--,--,--,--,--,--,550.38922
Com_31130_pos,Diosgenin,"Diosgenin; (3beta,25R)-Spirost-5-en-3-ol",C27 H42 O3,396.30067,9.998,C08898,--,--,LMST01080037,--,--,--,Sterols [ST],Sterols [ST01],Spirostanols and derivatives [ST0108],397.30762
Com_31171_pos,Sphinganine,"Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane",C18 H39 N O2,301.29844,6.969,C00836,map00600  Sphingolipid metabolism;map01100  Metabolic pathways,HMDB0000269,LMSP01020001,Organic nitrogen compounds,Organonitrogen compounds,Amines,Sphingolipids [SP],Sphingoid bases [SP01],Sphinganines [SP0102],302.30539
Com_31256_pos,NAT13-331713_POS,--,C26 H30 N4 O3,484.19322,5.507,--,--,--,--,--,--,--,--,--,--,485.20041
Com_31291_pos,Vitamin A,Retinol; all-trans-Retinol; Vitamin A; Vitamin A1,C20 H30 O,286.22968,8.324,C00473,map01100  Metabolic pathways,HMDB0006216,LMPR01090001,Lipids and lipid-like molecules,Prenol lipids,Retinoids,Prenol Lipids [PR],Isoprenoids [PR01],Retinoids [PR0109],287.23706
Com_31623_pos,Pyrrole-2-carboxylic acid,--,C5 H5 N O2,111.03235,5.288,--,--,HMDB0004230,--,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,--,--,--,112.03962
Com_31678_pos,"6-methyl-2-[5-(2-pyridinyl)-2-thienyl]imidazo[1,2-a]pyridine",--,C17 H13 N3 S,309.08879,2.342,--,--,--,--,--,--,--,--,--,--,310.09619
Com_31833_pos,L-Dopa,"3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine",C9 H11 N O4,197.06909,2.489,C00355,map00350  Tyrosine metabolism;map00950  Isoquinoline alkaloid biosynthesis;map00965  Betalain biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites,HMDB0000181,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,198.07637
Com_31926_pos,Phe-Pro,--,C14 H18 N2 O3,262.13246,6.26,--,--,HMDB0011177,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,263.1394
Com_32069_pos,(4-benzoylpiperidino)[4-(tert-butyl)phenyl]methanone,--,C23 H27 N O2,371.19332,7.179,--,--,--,--,--,--,--,--,--,--,372.20059
Com_32105_pos,KNK,--,C16 H32 N6 O5,388.24302,2.733,--,--,--,--,--,--,--,--,--,--,389.25024
Com_32352_pos,NMH,Methylnitrosourea; N-Methyl-N-nitrosourea; NMH,C15 H24 N6 O5 S,422.13602,6.018,C14595,--,--,--,--,--,--,--,--,--,423.14432
Com_32524_pos,dAMP,dAMP; 2'-Deoxyadenosine 5'-phosphate; 2'-Deoxyadenosine 5'-monophosphate; Deoxyadenylic acid; Deoxyadenosine monophosphate,C10 H14 N5 O6 P,331.06661,3.346,C00360,map00230  Purine metabolism;map01100  Metabolic pathways,HMDB0000905,--,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides,--,--,--,332.07388
Com_32560_pos,(2E)-6-hydroxy-2-methyl-6-(4-methylphenyl)hept-2-enoic acid,--,C15 H20 O3,230.13094,6.874,--,--,--,--,--,--,--,--,--,--,231.1384
Com_32603_pos,Pantethine,Pantethine,C22 H42 N4 O8 S2,554.24645,5.466,C12661,--,HMDB0003828,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,555.25452
Com_33160_pos,lithocholic acid 3-sulfate sodium salt,--,C24 H38 O6 S Na2,500.22005,5.367,--,--,--,--,--,--,--,--,--,--,501.22733
Com_33213_pos,"3-hydroxy-1,5-diphenylpentan-1-one",--,C17 H18 O2,276.11285,7.48,--,--,--,--,--,--,--,--,--,--,277.11996
Com_33443_pos,Lysopc 20:4,--,C28 H50 N O7 P,543.33426,8.894,--,--,--,--,--,--,--,--,--,--,544.34106
Com_33483_pos,Eicosapentaenoic acid ethyl ester,--,C22 H34 O2,347.28022,8.91,--,--,HMDB0039530,--,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,--,--,--,348.2879
Com_33566_pos,Sakuranin,Sakuranin; NSC 407308,C22 H24 O10,470.12489,10.43,C17391,--,--,LMPK12140564,--,--,--,Polyketides [PR],Flavonoids [PK12],Flavanones [PK1214],471.13205
Com_33724_pos,"3-Acetyl-2,5-dimethylfuran",--,C8 H10 O2,138.06867,5.402,--,--,HMDB0029563,--,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,--,--,--,139.07594
Com_34109_pos,Allolithocholic acid,--,C24 H40 O3,376.29643,9.652,--,--,HMDB0000381,LMST04010005,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Sterols [ST],Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",377.30389
Com_34338_pos,Phellamurin,Phellamurin; 8-Prenyldihydrokaempferol 7-glucoside,C26 H30 O11,518.17345,4.544,C09808,--,HMDB0031876,--,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,--,--,--,519.18073
Com_34611_pos,(9cis)-Retinal,--,C20 H28 O,284.21471,8.899,--,--,HMDB0006218,--,Lipids and lipid-like molecules,Prenol lipids,Retinoids,--,--,--,285.22198
Com_34780_pos,"N-(2,6-dimethylphenyl)-2-piperidinopropanamide",--,C16 H24 N2 O,260.18454,4.571,--,--,--,--,--,--,--,--,--,--,261.19168
Com_34811_pos,Puerarin,Puerarin,C21 H20 O9,416.10867,5.449,C10524,--,HMDB0240265,LMPK12050005,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid C-glycosides,Polyketides [PR],Flavonoids [PK12],Isoflavonoids [PK1205],417.11612
Com_34816_pos,D-(+)-Maltose,--,C12 H22 O11,364.09766,2.018,--,--,HMDB0000163,--,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,--,--,--,347.09396
Com_34955_pos,Monensin,Monensin; Monensin A,C36 H62 O11,692.42205,7.315,C06693,--,--,--,--,--,--,--,--,--,693.42963
Com_35360_pos,17¦Á-Ethynylestradiol,--,C20 H24 O2,296.17794,6.606,--,--,--,--,--,--,--,--,--,--,297.18497
Com_35435_pos,Oxytetracycline,Oxytetracycline; Oxytetracycline anhydrous,C22 H24 N2 O9,482.12731,10.242,C06624,--,HMDB0014733,LMPK07000005,Phenylpropanoids and polyketides,Tetracyclines,,Polyketides [PR],Linear tetracyclines [PK07],_,483.13437
Com_36262_pos,6-methyl-2-(3-pyridyl)pyrimidin-4-ol,--,C10 H9 N3 O,187.07656,5.318,--,--,--,--,--,--,--,--,--,--,188.08386
Com_36510_pos,R-1 Methanandamide phosphate,--,C23 H40 N O5 P,433.26922,6.245,--,--,--,--,--,--,--,--,--,--,434.27634
Com_36636_pos,YLH,--,C21 H29 N5 O5,431.21919,4.764,--,--,--,--,--,--,--,--,--,--,432.22647
Com_36641_pos,Kahweol,--,C20 H26 O3,314.18789,6.286,--,--,HMDB0035602,--,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,--,--,--,315.19479
Com_36709_pos,Taurolithocholic acid sodium salt,--,C26 H44 N Na O5 S,505.28136,7.923,--,--,--,--,--,--,--,--,--,--,506.28864
Com_36887_pos,Dl-3-Hydroxy-kynurenine,--,C10 H12 N2 O4,224.07911,5.008,--,--,--,--,--,--,--,--,--,--,225.08694
Com_37185_pos,6|?-Oxycodol N-oxide,--,C18 H23 N O5,333.15792,5.036,--,--,--,--,--,--,--,--,--,--,334.16519
